latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
13,77.600006,914,18000,Asia/Kolkata,IST,,,,,,,,
,,,,,,,,,,,,,
time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°)
12-02-2020,2,28.7,16.9,22.4,18.3,29.8,23.4,0,0,0,16.3,35.6,104
13-02-2020,2,29.7,16.4,22.5,19.2,29.5,23.4,0,0,0,14.6,34.2,81
14-02-2020,0,29.6,15.2,22.9,18,31.7,24.3,0,0,0,11.4,21.6,62
15-02-2020,1,30.6,16,23.5,17.2,31.9,24,0,0,0,13.6,22.7,88
16-02-2020,1,30.7,16.7,23.1,15.8,30.4,22.2,0,0,0,14.1,28.8,91
17-02-2020,0,30,14.4,22,15.8,29.6,21.4,0,0,0,13,30.2,83
18-02-2020,1,29.8,14.6,22,15.6,29.4,22,0,0,0,14.8,34.9,94
19-02-2020,1,30,15.4,22.5,16.7,30.4,23,0,0,0,15.5,29.2,97
20-02-2020,0,30,14.4,22,16.7,29.6,22.1,0,0,0,15.4,31.3,98
21-02-2020,2,30.1,15.7,22.3,17.4,30.2,22.8,0,0,0,15.6,28.8,105
22-02-2020,3,29.9,16.7,22.6,18.1,31,23.8,0,0,0,15.7,29.5,97
23-02-2020,3,29.7,17.6,23,19.6,30.2,23.9,0,0,0,15.8,29.2,104
24-02-2020,3,30,17.9,23.3,20.2,30.3,24,0,0,0,15.1,29.2,113
25-02-2020,2,30.8,17.8,23.9,19.4,33,25.2,0,0,0,13.8,25.6,124
26-02-2020,2,30.3,18,24.2,20.2,31.5,25.8,0,0,0,13.8,30.2,108
27-02-2020,2,30.2,18.7,24.2,21.6,30.9,25.4,0,0,0,17.7,31.7,98
28-02-2020,3,29.8,17.9,23.6,20.6,30.7,24.9,0,0,0,18.2,36,105
29-02-2020,3,30.5,18.3,24,20.4,32,25.5,0,0,0,19.6,37.8,107
01-03-2020,2,30.4,18.4,23.9,21,32.4,25.7,0,0,0,18,37.1,111
02-03-2020,3,27.5,18.1,23.2,21,30.6,25.9,0,0,0,14.7,29.2,142
03-03-2020,2,29.7,19.1,24.6,21.6,34,27.2,0,0,0,8.4,23.8,157
04-03-2020,51,30.2,20.3,25,23.7,32.6,27.2,0.5,0.5,3,11,26.3,305
05-03-2020,51,29.5,20.2,24.6,23.6,32.7,27.3,0.2,0.2,2,13.3,27.7,169
06-03-2020,51,29.1,19.9,24.4,23.2,32.2,27.3,0.7,0.7,4,13.5,31.7,193
